EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
25,18,,2001,3,2023,25,3,20,2001,4,4,320,320,3,9,97,97,2023
43,32,,117,8,2023,11,8,1,117,4,4,320,320,4,5,23,83,2023
28,27,,1616,1,2023,19,12,16,1616,1,1,320,320,4,3,97,34,2023
30,25,,1601,6,2023,20,6,16,1601,4,4,320,320,5,4,97,24,2023
29,29,,101,11,2023,4,11,1,101,4,4,320,320,4,6,21,97,2023
30,24,,1702,8,2023,18,8,5,1702,4,9,320,320,4,3,97,97,2023
44,35,,101,10,2023,28,9,1,101,4,4,320,320,3,3,52,83,2023
29,29,,1701,9,2023,11,9,17,1701,4,4,320,320,2,4,51,51,2023
25,20,,111,6,2023,25,5,1,111,4,9,320,320,3,9,97,71,2023
25,22,,1501,10,2023,5,9,15,1501,4,1,320,320,2,3,97,921,2023
26,19,,105,12,2023,14,12,1,105,4,9,320,320,2,9,97,921,2023
19,22,,1401,7,2023,29,6,14,1401,1,1,320,320,9,2,97,52,2023
23,22,,1615,6,2023,31,5,16,1615,1,1,320,320,4,4,97,97,2023
27,26,,306,12,2023,8,12,3,306,1,1,320,320,3,4,97,97,2023
65,51,,804,5,2023,29,4,8,802,1,1,320,320,2,2,75,75,2023
27,27,,117,4,2023,15,4,1,101,4,4,320,320,4,4,97,97,2023
34,29,,1906,9,2023,11,8,19,1906,9,4,320,320,2,2,97,921,2023
46,40,,1215,8,2023,7,8,12,1215,4,4,320,320,2,2,97,921,2023
32,29,,1201,1,2023,18,11,12,1201,9,4,840,320,9,5,23,74,2023
29,25,,1420,12,2023,8,12,14,1420,1,1,320,320,3,3,97,921,2023
25,24,,1107,2,2023,11,2,11,1107,4,4,320,320,4,3,97,97,2023
23,20,,101,3,2023,3,1,1,101,9,4,320,320,4,9,97,97,2023
20,24,,1501,2,2023,20,1,15,1501,4,4,320,320,9,3,97,921,2023
25,19,,101,11,2023,21,11,1,101,5,4,320,320,3,9,97,97,2023
23,28,,1709,12,2023,7,12,17,1709,1,1,320,320,3,4,97,97,2023
23,26,,2205,8,2023,31,8,22,2205,4,4,320,320,9,4,97,35,2023
49,32,,1201,5,2023,28,4,12,1201,4,4,320,320,9,5,97,26,2023
30,27,,1503,3,2023,10,3,15,1503,4,4,320,320,2,2,97,921,2023
23,24,,1327,1,2023,16,12,13,1301,4,4,320,320,4,4,97,97,2023
29,21,,413,10,2023,24,6,4,413,4,1,320,320,4,9,97,97,2023
38,24,,1230,11,2023,11,10,12,1230,4,4,320,320,2,2,97,921,2023
50,37,,1611,12,2023,25,11,16,1611,1,1,320,320,4,3,97,23,2023
59,51,,2001,10,2023,2,10,20,2001,4,4,320,320,2,2,97,921,2023
21,20,,1413,10,2023,21,10,14,1413,1,1,320,320,9,9,97,97,2023
42,45,,114,3,2023,18,2,1,114,4,4,320,320,3,4,52,52,2023
45,39,,110,12,2023,29,11,1,110,1,1,320,320,2,1,97,921,2023
23,22,,115,1,2023,17,12,1,115,9,4,320,320,4,4,97,97,2023
23,22,,501,11,2023,16,11,5,501,9,4,320,320,4,4,97,32,2023
23,20,,1008,7,2023,21,6,10,1008,1,9,320,320,3,9,97,99,2023
36,34,,1322,7,2023,11,7,13,1322,4,1,320,320,2,2,97,921,2023
19,21,,808,2,2023,21,2,8,805,1,1,320,320,9,9,97,52,2023
24,24,,114,12,2023,15,12,1,114,4,4,320,320,4,4,43,74,2023
24,23,,1201,12,2023,15,11,12,1202,4,4,320,320,2,2,97,921,2023
39,25,,1804,9,2023,17,8,18,1804,4,4,320,320,2,1,97,921,2023
27,20,,709,2,2023,18,2,7,701,4,1,320,320,4,9,33,96,2023
23,22,,401,12,2023,24,11,4,414,1,1,320,320,4,4,97,97,2023
38,29,,909,12,2023,26,11,9,902,4,4,320,320,4,4,97,23,2023
41,29,,1702,4,2023,27,4,5,1702,4,4,320,320,4,2,52,52,2023
23,22,,709,1,2023,15,12,7,709,1,1,320,320,2,4,97,921,2023
23,23,,1325,5,2023,24,1,13,1325,1,1,320,320,3,2,97,97,2023
28,27,,103,2,2023,25,1,1,103,4,4,320,320,2,3,97,83,2023
33,35,,1009,3,2023,11,2,1,101,4,4,320,320,5,6,21,21,2023
34,30,,506,3,2023,10,3,5,506,4,4,320,320,4,3,97,43,2023
46,39,,101,8,2023,8,7,1,101,4,4,320,320,6,4,97,26,2023
28,21,,1301,9,2023,25,8,13,1301,4,4,320,320,4,9,97,97,2023
19,20,,804,8,2023,27,8,9,901,9,1,320,320,9,9,97,75,2023
30,28,,101,1,2023,7,12,1,101,4,4,320,320,4,4,97,97,2023
86,66,,1801,2,2023,20,2,18,1801,9,4,222,320,9,9,97,921,2023
43,35,,1101,5,2023,10,3,11,1101,4,4,320,320,2,5,23,52,2023
18,18,,512,11,2023,28,10,5,511,4,4,320,320,9,9,97,97,2023
24,25,,101,10,2023,24,9,1,101,4,5,320,320,3,4,97,97,2023
31,31,,101,1,2023,1,10,1,110,4,4,320,320,4,5,22,97,2023
30,31,,1611,12,2023,19,12,16,1611,1,1,320,320,3,2,97,97,2023
20,19,,917,3,2023,4,3,9,917,4,4,320,320,9,9,97,97,2023
60,58,,501,4,2023,15,12,5,501,4,4,320,320,2,9,22,83,2023
24,24,,101,12,2023,2,12,1,101,4,4,320,320,4,4,34,97,2023
18,18,,1404,3,2023,7,2,14,1404,1,1,320,320,9,9,97,921,2023
22,19,,2001,5,2023,15,4,4,416,4,9,320,320,4,9,97,52,2023
21,23,,1101,2,2023,10,1,11,1101,4,4,320,320,9,2,97,921,2023
27,24,,401,12,2023,2,12,4,416,4,4,320,320,4,4,97,43,2023
24,21,,1305,11,2023,12,11,13,1305,1,4,320,320,4,9,97,97,2023
38,34,,102,4,2023,31,3,1,102,4,4,320,320,4,4,41,52,2023
26,18,,1101,2,2023,23,2,11,1101,4,4,320,320,3,9,97,97,2023
25,24,,1609,6,2023,7,6,16,1609,1,1,320,320,4,4,97,93,2023
27,23,,101,4,2023,15,4,1,115,4,4,320,320,4,4,97,93,2023
27,47,,922,8,2023,13,8,9,920,4,4,320,320,2,3,97,97,2023
30,37,,1202,3,2023,24,2,12,1202,4,4,320,320,4,4,43,541,2023
19,23,,401,9,2023,21,9,4,401,9,1,320,320,9,3,97,72,2023
53,51,,101,2,2023,25,2,1,101,4,4,320,320,4,5,24,97,2023
31,36,,116,4,2023,1,4,1,116,4,4,320,320,4,4,97,31,2023
44,36,,1905,3,2023,23,3,19,1905,4,4,320,320,2,1,97,72,2023
21,20,,107,10,2023,16,6,1,107,9,4,320,320,9,9,97,97,2023
29,22,,1611,12,2023,24,11,16,1611,1,1,320,320,4,2,97,23,2023
34,22,,1601,4,2023,18,3,16,1601,1,9,320,320,2,3,97,83,2023
34,34,,705,4,2023,29,3,7,705,1,1,320,320,1,2,97,921,2023
24,26,,1801,9,2023,22,8,18,1801,4,4,320,320,4,9,75,35,2023
45,48,,911,1,2023,22,1,9,909,1,1,320,320,2,2,97,921,2023
26,19,,103,5,2023,20,4,1,103,9,4,320,320,4,9,97,72,2023
28,27,,1413,5,2023,20,5,14,1413,1,1,320,320,4,4,97,97,2023
54,51,,1805,7,2023,15,6,18,1805,4,4,320,320,1,1,97,921,2023
31,29,,105,3,2023,11,11,3,301,4,4,320,320,5,4,97,21,2023
35,22,,1001,2,2023,25,2,10,1010,4,1,320,320,4,4,97,97,2023
61,65,,101,5,2023,29,4,3,306,4,4,320,320,2,2,52,52,2023
20,19,,922,2,2023,27,1,9,922,4,4,320,320,9,9,97,921,2023
45,34,,1205,1,2023,13,1,12,1205,1,1,320,320,2,2,97,921,2023
22,20,,1409,2,2023,19,1,14,1409,1,1,320,320,2,9,97,921,2023
26,24,,1709,10,2023,23,10,17,1709,1,1,320,320,3,2,97,921,2023
22,40,,401,11,2023,11,11,4,401,9,4,320,320,4,4,42,97,2023
